texto,categoria
se requiere solicitud de presupuesto anual,Financiero
confidencial solicitud de paz y salvo,Academico
interno reporte contable mensual,Financiero
proceso correspondiente a solicitud de certificado académico,Academico
solicitud relacionada con contrato de prestación de servicios,Juridico
documento asociado a acuerdo jurídico,Juridico
se requiere historial académico del estudiante,Academico
se requiere proceso disciplinario,Juridico
oficial solicitud de paz y salvo,Academico
se requiere reporte de gestión administrativa,Administrativo
reporte de ingresos económicos oficial,Financiero
solicitud relacionada con reporte contable mensual,Financiero
se requiere solicitud de paz y salvo,Academico
proceso correspondiente a acta de comité institucional,Administrativo
acta de comité institucional institucional,Administrativo
solicitud relacionada con concepto jurídico institucional,Juridico
proceso correspondiente a reporte de gestión administrativa,Administrativo
se requiere reporte de ingresos económicos,Financiero
se requiere incapacidad médica laboral,Talento_Humano
solicitud relacionada con acta de grado universitario,Academico
documento asociado a contrato de prestación de servicios,Juridico
proceso correspondiente a certificación laboral,Talento_Humano
resolución jurídica prioritario,Juridico
proceso correspondiente a afiliación de seguridad social,Talento_Humano
proceso correspondiente a notificación judicial,Juridico
proceso correspondiente a acuerdo jurídico,Juridico
documento legal contractual prioritario,Juridico
proceso correspondiente a certificación laboral,Talento_Humano
cancelación de semestre académico oficial,Academico
solicitud relacionada con acuerdo jurídico,Juridico
solicitud relacionada con balance general financiero,Financiero
proceso correspondiente a certificación laboral,Talento_Humano
se requiere reporte de nómina,Talento_Humano
documento asociado a acta de comité institucional,Administrativo
afiliación de seguridad social externo,Talento_Humano
solicitud relacionada con acción de tutela,Juridico
proceso correspondiente a solicitud de permisos laborales,Talento_Humano
documento asociado a cancelación de semestre académico,Academico
institucional proceso de selección,Talento_Humano
proceso correspondiente a reporte de notas semestrales,Academico
solicitud relacionada con documento legal contractual,Juridico
proceso correspondiente a reporte de nómina,Talento_Humano
documento asociado a concepto jurídico institucional,Juridico
solicitud relacionada con solicitud administrativa interna,Administrativo
proceso correspondiente a acuerdo jurídico,Juridico
memorando administrativo interno prioritario,Administrativo
proceso correspondiente a solicitud de presupuesto anual,Financiero
institucional historial académico del estudiante,Academico
se requiere solicitud administrativa interna,Administrativo
solicitud relacionada con afiliación de seguridad social,Talento_Humano
documento asociado a reporte de notas semestrales,Academico
prioritario acta de reunión administrativa,Administrativo
se requiere documento legal contractual,Juridico
solicitud relacionada con acta de comité institucional,Administrativo
solicitud relacionada con estado financiero trimestral,Financiero
certificación laboral oficial,Talento_Humano
se requiere solicitud de certificado académico,Academico
solicitud administrativa interna general,Administrativo
documento asociado a matrícula académica ordinaria,Academico
proceso correspondiente a registro de calificaciones,Academico
documento asociado a plan operativo institucional,Administrativo
documento asociado a incapacidad médica laboral,Talento_Humano
documento asociado a solicitud de certificado académico,Academico
solicitud de homologación de materias prioritario,Academico
solicitud relacionada con reporte contable mensual,Financiero
se requiere solicitud de permisos laborales,Talento_Humano
oficial hoja de vida institucional,Talento_Humano
se requiere solicitud de presupuesto anual,Financiero
documento asociado a solicitud de paz y salvo,Academico
se requiere certificación laboral,Talento_Humano
se requiere solicitud de paz y salvo,Academico
se requiere balance general financiero,Financiero
solicitud relacionada con reporte de notas semestrales,Academico
se requiere reporte de nómina,Talento_Humano
institucional notificación judicial,Juridico
solicitud relacionada con contrato laboral,Talento_Humano
proceso correspondiente a memorando administrativo interno,Administrativo
solicitud relacionada con registro documental interno,Administrativo
confidencial orden de pago administrativa,Financiero
confidencial factura de pago institucional,Financiero
solicitud relacionada con afiliación de seguridad social,Talento_Humano
proceso correspondiente a reporte contable mensual,Financiero
oficial hoja de vida institucional,Talento_Humano
proceso correspondiente a acción de tutela,Juridico
estado financiero trimestral externo,Financiero
solicitud relacionada con evaluación de desempeño,Talento_Humano
documento asociado a estado financiero trimestral,Financiero
proceso correspondiente a acción de tutela,Juridico
se requiere acta de reunión administrativa,Administrativo
solicitud relacionada con acuerdo jurídico,Juridico
externo concepto jurídico institucional,Juridico
proceso correspondiente a solicitud de certificado académico,Academico
documento asociado a cancelación de semestre académico,Academico
acta de reunión administrativa interno,Administrativo
incapacidad médica laboral institucional,Talento_Humano
solicitud relacionada con balance general financiero,Financiero
proceso correspondiente a control de cartera vencida,Financiero
documento asociado a concepto jurídico institucional,Juridico
acta de grado universitario institucional,Academico
externo registro de calificaciones,Academico
control de inventario institucional,Administrativo
se requiere notificación judicial,Juridico
resolución jurídica urgente,Juridico
oficial estado financiero trimestral,Financiero
se requiere circular administrativa general,Administrativo
externo reporte de ingresos económicos,Financiero
interno demanda administrativa,Juridico
se requiere reporte de ingresos económicos,Financiero
oficial solicitud de paz y salvo,Academico
se requiere acuerdo jurídico,Juridico
proceso correspondiente a solicitud de homologación de materias,Academico
documento asociado a cancelación de semestre académico,Academico
documento asociado a acta de reunión administrativa,Administrativo
general notificación judicial,Juridico
se requiere certificado de estudios,Academico
documento asociado a reporte de gestión administrativa,Administrativo
solicitud relacionada con acuerdo jurídico,Juridico
solicitud relacionada con incapacidad médica laboral,Talento_Humano
proceso correspondiente a control de cartera vencida,Financiero
documento asociado a acción de tutela,Juridico
se requiere reporte contable mensual,Financiero
interno historial académico del estudiante,Academico
proceso correspondiente a incapacidad médica laboral,Talento_Humano
solicitud relacionada con reporte de ingresos económicos,Financiero
se requiere derecho de petición,Juridico
solicitud relacionada con solicitud de presupuesto anual,Financiero
oficial contrato laboral,Talento_Humano
solicitud relacionada con comunicado organizacional,Administrativo
general historial académico del estudiante,Academico
comunicado organizacional urgente,Administrativo
se requiere reporte de notas semestrales,Academico
proceso correspondiente a reporte contable mensual,Financiero
general resolución jurídica,Juridico
general certificado de estudios,Academico
solicitud relacionada con certificación laboral,Talento_Humano
confidencial proceso disciplinario,Juridico
documento asociado a resolución jurídica,Juridico
externo incapacidad médica laboral,Talento_Humano
externo acción de tutela,Juridico
proceso correspondiente a hoja de vida institucional,Talento_Humano
proceso correspondiente a historial académico del estudiante,Academico
solicitud relacionada con solicitud de permisos laborales,Talento_Humano
se requiere comprobante de egreso,Financiero
memorando administrativo interno urgente,Administrativo
solicitud relacionada con matrícula académica ordinaria,Academico
se requiere reporte de notas semestrales,Academico
proceso correspondiente a acción de tutela,Juridico
acción de tutela oficial,Juridico
solicitud relacionada con demanda administrativa,Juridico
solicitud relacionada con reporte de notas semestrales,Academico
solicitud relacionada con solicitud de homologación de materias,Academico
documento asociado a registro de calificaciones,Academico
se requiere plan operativo institucional,Administrativo
documento asociado a acción de tutela,Juridico
documento asociado a solicitud de homologación de materias,Academico
solicitud relacionada con informe de tesorería,Financiero
documento asociado a acta de grado universitario,Academico
proceso correspondiente a reporte contable mensual,Financiero
documento asociado a evaluación de desempeño,Talento_Humano
solicitud relacionada con plan operativo institucional,Administrativo
solicitud relacionada con reporte de gestión administrativa,Administrativo
proceso correspondiente a solicitud de homologación de materias,Academico
documento asociado a proceso disciplinario,Juridico
solicitud relacionada con incapacidad médica laboral,Talento_Humano
institucional control de inventario,Administrativo
documento asociado a solicitud de paz y salvo,Academico
acción de tutela institucional,Juridico
proceso correspondiente a certificación laboral,Talento_Humano
balance general financiero general,Financiero
documento asociado a solicitud administrativa interna,Administrativo
documento asociado a proceso disciplinario,Juridico
documento asociado a registro de calificaciones,Academico
documento asociado a factura de pago institucional,Financiero
prioritario solicitud de paz y salvo,Academico
solicitud de paz y salvo externo,Academico
certificado de estudios confidencial,Academico
solicitud relacionada con reporte de notas semestrales,Academico
se requiere control de inventario,Administrativo
plan operativo institucional oficial,Administrativo
proceso correspondiente a afiliación de seguridad social,Talento_Humano
documento asociado a evaluación de desempeño,Talento_Humano
solicitud relacionada con control de inventario,Administrativo
se requiere control de cartera vencida,Financiero
proceso correspondiente a orden de pago administrativa,Financiero
se requiere derecho de petición,Juridico
proceso correspondiente a hoja de vida institucional,Talento_Humano
solicitud relacionada con plan operativo institucional,Administrativo
general acuerdo jurídico,Juridico
documento asociado a control de cartera vencida,Financiero
documento asociado a derecho de petición,Juridico
solicitud relacionada con hoja de vida institucional,Talento_Humano
proceso correspondiente a incapacidad médica laboral,Talento_Humano
se requiere certificación laboral,Talento_Humano
proceso correspondiente a control de inventario,Administrativo
se requiere notificación judicial,Juridico
prioritario demanda administrativa,Juridico
solicitud relacionada con estado financiero trimestral,Financiero
documento asociado a solicitud de certificado académico,Academico
solicitud relacionada con solicitud de homologación de materias,Academico
urgente proceso de selección,Talento_Humano
proceso correspondiente a solicitud de vacaciones,Talento_Humano
proceso correspondiente a acuerdo jurídico,Juridico
matrícula académica ordinaria general,Academico
oficial comunicado organizacional,Administrativo
proceso correspondiente a factura de pago institucional,Financiero
proceso correspondiente a certificación laboral,Talento_Humano
incapacidad médica laboral prioritario,Talento_Humano
documento asociado a registro de calificaciones,Academico
certificado de estudios confidencial,Academico
solicitud relacionada con informe de tesorería,Financiero
institucional control de cartera vencida,Financiero
solicitud relacionada con acción de tutela,Juridico
solicitud relacionada con cancelación de semestre académico,Academico
documento asociado a reporte de ingresos económicos,Financiero
proceso correspondiente a balance general financiero,Financiero
documento asociado a solicitud de vacaciones,Talento_Humano
solicitud relacionada con plan operativo institucional,Administrativo
general orden de pago administrativa,Financiero
proceso correspondiente a comunicado organizacional,Administrativo
reporte de notas semestrales institucional,Academico
se requiere solicitud de paz y salvo,Academico
solicitud relacionada con solicitud de homologación de materias,Academico
solicitud relacionada con acuerdo jurídico,Juridico
solicitud relacionada con acta de reunión administrativa,Administrativo
solicitud relacionada con matrícula académica ordinaria,Academico
proceso correspondiente a proceso disciplinario,Juridico
proceso correspondiente a solicitud de vacaciones,Talento_Humano
documento asociado a acción de tutela,Juridico
se requiere reporte de nómina,Talento_Humano
solicitud relacionada con registro documental interno,Administrativo
urgente circular administrativa general,Administrativo
solicitud relacionada con hoja de vida institucional,Talento_Humano
se requiere solicitud de paz y salvo,Academico
documento asociado a acta de reunión administrativa,Administrativo
documento asociado a acta de reunión administrativa,Administrativo
se requiere control de inventario,Administrativo
institucional acta de comité institucional,Administrativo
prioritario circular administrativa general,Administrativo
documento asociado a resolución jurídica,Juridico
documento asociado a notificación judicial,Juridico
solicitud relacionada con incapacidad médica laboral,Talento_Humano
documento asociado a historial académico del estudiante,Academico
se requiere matrícula académica ordinaria,Academico
circular administrativa general interno,Administrativo
externo reporte de notas semestrales,Academico
contrato de prestación de servicios prioritario,Juridico
solicitud relacionada con factura de pago institucional,Financiero
solicitud relacionada con reporte contable mensual,Financiero
historial académico del estudiante prioritario,Academico
control de inventario prioritario,Administrativo
prioritario solicitud de certificado académico,Academico
confidencial acta de comité institucional,Administrativo
confidencial reporte de nómina,Talento_Humano
solicitud relacionada con evaluación de desempeño,Talento_Humano
se requiere incapacidad médica laboral,Talento_Humano
proceso correspondiente a reporte de ingresos económicos,Financiero
se requiere solicitud de vacaciones,Talento_Humano
solicitud relacionada con acción de tutela,Juridico
se requiere acta de grado universitario,Academico
prioritario documento legal contractual,Juridico
interno acta de comité institucional,Administrativo
certificación laboral confidencial,Talento_Humano
documento asociado a proceso de selección,Talento_Humano
solicitud relacionada con solicitud de vacaciones,Talento_Humano
solicitud relacionada con notificación judicial,Juridico
se requiere historial académico del estudiante,Academico
estado financiero trimestral interno,Financiero
solicitud relacionada con reporte contable mensual,Financiero
solicitud relacionada con proceso de selección,Talento_Humano
se requiere acuerdo jurídico,Juridico
externo acuerdo jurídico,Juridico
incapacidad médica laboral externo,Talento_Humano
documento asociado a reporte de notas semestrales,Academico
solicitud relacionada con notificación judicial,Juridico
solicitud relacionada con solicitud de certificado académico,Academico
solicitud relacionada con registro de calificaciones,Academico
circular administrativa general institucional,Administrativo
solicitud relacionada con reporte de notas semestrales,Academico
se requiere reporte de nómina,Talento_Humano
documento asociado a solicitud de presupuesto anual,Financiero
comunicado organizacional institucional,Administrativo
institucional reporte de ingresos económicos,Financiero
solicitud relacionada con comprobante de egreso,Financiero
se requiere reporte de gestión administrativa,Administrativo
documento asociado a registro de calificaciones,Academico
documento asociado a documento legal contractual,Juridico
proceso correspondiente a evaluación de desempeño,Talento_Humano
urgente control de inventario,Administrativo
documento asociado a orden de pago administrativa,Financiero
prioritario informe de tesorería,Financiero
urgente registro documental interno,Administrativo
se requiere control de cartera vencida,Financiero
urgente demanda administrativa,Juridico
solicitud relacionada con solicitud de certificado académico,Academico
solicitud relacionada con concepto jurídico institucional,Juridico
solicitud de vacaciones interno,Talento_Humano
solicitud relacionada con comunicado organizacional,Administrativo
se requiere control de inventario,Administrativo
urgente solicitud de vacaciones,Talento_Humano
documento asociado a cancelación de semestre académico,Academico
solicitud relacionada con acta de comité institucional,Administrativo
solicitud relacionada con acta de grado universitario,Academico
confidencial documento legal contractual,Juridico
oficial solicitud de paz y salvo,Academico
prioritario estado financiero trimestral,Financiero
solicitud relacionada con solicitud de homologación de materias,Academico
general registro documental interno,Administrativo
se requiere contrato de prestación de servicios,Juridico
evaluación de desempeño externo,Talento_Humano
documento asociado a hoja de vida institucional,Talento_Humano
documento asociado a registro de calificaciones,Academico
solicitud relacionada con informe de tesorería,Financiero
se requiere evaluación de desempeño,Talento_Humano
general registro documental interno,Administrativo
proceso correspondiente a acta de comité institucional,Administrativo
documento asociado a orden de pago administrativa,Financiero
documento asociado a concepto jurídico institucional,Juridico
solicitud de homologación de materias confidencial,Academico
documento asociado a contrato de prestación de servicios,Juridico
solicitud relacionada con plan operativo institucional,Administrativo
solicitud relacionada con plan operativo institucional,Administrativo
documento asociado a solicitud de vacaciones,Talento_Humano
interno reporte de ingresos económicos,Financiero
solicitud relacionada con acta de grado universitario,Academico
solicitud relacionada con evaluación de desempeño,Talento_Humano
documento asociado a resolución jurídica,Juridico
reporte de notas semestrales institucional,Academico
matrícula académica ordinaria confidencial,Academico
solicitud relacionada con acuerdo jurídico,Juridico
externo acta de grado universitario,Academico
solicitud relacionada con cancelación de semestre académico,Academico
reporte de gestión administrativa institucional,Administrativo
solicitud relacionada con proceso de selección,Talento_Humano
documento asociado a control de inventario,Administrativo
proceso correspondiente a derecho de petición,Juridico
solicitud relacionada con notificación judicial,Juridico
proceso correspondiente a demanda administrativa,Juridico
prioritario comprobante de egreso,Financiero
se requiere documento legal contractual,Juridico
prioritario reporte de notas semestrales,Academico
cancelación de semestre académico institucional,Academico
reporte de ingresos económicos urgente,Financiero
hoja de vida institucional confidencial,Talento_Humano
documento asociado a orden de pago administrativa,Financiero
general incapacidad médica laboral,Talento_Humano
se requiere reporte de gestión administrativa,Administrativo
documento asociado a solicitud de presupuesto anual,Financiero
reporte de notas semestrales interno,Academico
hoja de vida institucional institucional,Talento_Humano
solicitud relacionada con acta de grado universitario,Academico
solicitud relacionada con comprobante de egreso,Financiero
documento asociado a demanda administrativa,Juridico
contrato laboral general,Talento_Humano
documento asociado a factura de pago institucional,Financiero
documento asociado a incapacidad médica laboral,Talento_Humano
general notificación judicial,Juridico
se requiere registro documental interno,Administrativo
oficial solicitud de homologación de materias,Academico
documento asociado a estado financiero trimestral,Financiero
solicitud relacionada con registro de calificaciones,Academico
proceso correspondiente a solicitud de certificado académico,Academico
solicitud relacionada con comunicado organizacional,Administrativo
documento asociado a solicitud de vacaciones,Talento_Humano
general demanda administrativa,Juridico
solicitud relacionada con historial académico del estudiante,Academico
hoja de vida institucional urgente,Talento_Humano
proceso correspondiente a control de inventario,Administrativo
interno certificado de estudios,Academico
urgente registro de calificaciones,Academico
proceso correspondiente a solicitud de presupuesto anual,Financiero
documento asociado a hoja de vida institucional,Talento_Humano
se requiere certificación laboral,Talento_Humano
proceso disciplinario oficial,Juridico
reporte de ingresos económicos oficial,Financiero
interno reporte de notas semestrales,Academico
orden de pago administrativa interno,Financiero
solicitud relacionada con circular administrativa general,Administrativo
documento asociado a control de inventario,Administrativo
general hoja de vida institucional,Talento_Humano
certificación laboral interno,Talento_Humano
documento asociado a incapacidad médica laboral,Talento_Humano
proceso correspondiente a reporte de ingresos económicos,Financiero
documento asociado a certificado de estudios,Academico
contrato de prestación de servicios urgente,Juridico
solicitud relacionada con historial académico del estudiante,Academico
institucional reporte de gestión administrativa,Administrativo
se requiere control de cartera vencida,Financiero
control de inventario general,Administrativo
interno acción de tutela,Juridico
documento asociado a contrato laboral,Talento_Humano
se requiere memorando administrativo interno,Administrativo
proceso correspondiente a registro de calificaciones,Academico
documento asociado a informe de tesorería,Financiero
documento asociado a plan operativo institucional,Administrativo
interno contrato de prestación de servicios,Juridico
proceso correspondiente a reporte de ingresos económicos,Financiero
documento asociado a registro de calificaciones,Academico
institucional estado financiero trimestral,Financiero
interno concepto jurídico institucional,Juridico
acción de tutela interno,Juridico
prioritario solicitud de permisos laborales,Talento_Humano
documento asociado a reporte contable mensual,Financiero
solicitud relacionada con solicitud de presupuesto anual,Financiero
documento asociado a acta de comité institucional,Administrativo
proceso correspondiente a hoja de vida institucional,Talento_Humano
oficial solicitud de presupuesto anual,Financiero
documento asociado a estado financiero trimestral,Financiero
memorando administrativo interno confidencial,Administrativo
documento asociado a solicitud de homologación de materias,Academico
incapacidad médica laboral interno,Talento_Humano
documento asociado a resolución jurídica,Juridico
acuerdo jurídico prioritario,Juridico
documento asociado a proceso de selección,Talento_Humano
documento asociado a acuerdo jurídico,Juridico
historial académico del estudiante externo,Academico
documento asociado a acta de grado universitario,Academico
documento asociado a contrato de prestación de servicios,Juridico
documento asociado a registro documental interno,Administrativo
solicitud relacionada con registro documental interno,Administrativo
solicitud relacionada con proceso de selección,Talento_Humano
solicitud relacionada con comunicado organizacional,Administrativo
confidencial reporte de gestión administrativa,Administrativo
se requiere estado financiero trimestral,Financiero
documento asociado a matrícula académica ordinaria,Academico
solicitud relacionada con certificado de estudios,Academico
se requiere plan operativo institucional,Administrativo
documento asociado a acta de comité institucional,Administrativo
notificación judicial externo,Juridico
se requiere notificación judicial,Juridico
proceso correspondiente a afiliación de seguridad social,Talento_Humano
solicitud relacionada con registro documental interno,Administrativo
proceso correspondiente a reporte de gestión administrativa,Administrativo
institucional solicitud administrativa interna,Administrativo
documento asociado a matrícula académica ordinaria,Academico
documento asociado a registro documental interno,Administrativo
proceso correspondiente a cancelación de semestre académico,Academico
proceso correspondiente a solicitud administrativa interna,Administrativo
solicitud relacionada con factura de pago institucional,Financiero
se requiere proceso de selección,Talento_Humano
contrato laboral general,Talento_Humano
reporte contable mensual externo,Financiero
documento asociado a proceso de selección,Talento_Humano
documento legal contractual urgente,Juridico
circular administrativa general oficial,Administrativo
documento asociado a control de inventario,Administrativo
proceso correspondiente a contrato de prestación de servicios,Juridico
solicitud relacionada con afiliación de seguridad social,Talento_Humano
se requiere control de inventario,Administrativo
demanda administrativa urgente,Juridico
circular administrativa general confidencial,Administrativo
proceso correspondiente a solicitud de certificado académico,Academico
documento asociado a solicitud de vacaciones,Talento_Humano
documento asociado a certificado de estudios,Academico
solicitud relacionada con balance general financiero,Financiero
institucional notificación judicial,Juridico
se requiere afiliación de seguridad social,Talento_Humano
solicitud relacionada con orden de pago administrativa,Financiero
general contrato laboral,Talento_Humano
externo orden de pago administrativa,Financiero
documento asociado a control de cartera vencida,Financiero
solicitud relacionada con solicitud de homologación de materias,Academico
hoja de vida institucional oficial,Talento_Humano
externo plan operativo institucional,Administrativo
se requiere factura de pago institucional,Financiero
solicitud relacionada con control de cartera vencida,Financiero
se requiere circular administrativa general,Administrativo
acción de tutela interno,Juridico
se requiere orden de pago administrativa,Financiero
proceso correspondiente a solicitud de paz y salvo,Academico
documento asociado a control de inventario,Administrativo
proceso correspondiente a informe de tesorería,Financiero
proceso correspondiente a orden de pago administrativa,Financiero
solicitud de homologación de materias interno,Academico
proceso correspondiente a orden de pago administrativa,Financiero
proceso correspondiente a derecho de petición,Juridico
oficial reporte de gestión administrativa,Administrativo
se requiere circular administrativa general,Administrativo
reporte de ingresos económicos confidencial,Financiero
solicitud relacionada con solicitud de presupuesto anual,Financiero
se requiere solicitud de certificado académico,Academico
orden de pago administrativa externo,Financiero
institucional afiliación de seguridad social,Talento_Humano
proceso correspondiente a informe de tesorería,Financiero
solicitud relacionada con solicitud de paz y salvo,Academico
externo concepto jurídico institucional,Juridico
solicitud de vacaciones interno,Talento_Humano
documento asociado a reporte de notas semestrales,Academico
institucional concepto jurídico institucional,Juridico
se requiere matrícula académica ordinaria,Academico
proceso correspondiente a demanda administrativa,Juridico
orden de pago administrativa urgente,Financiero
solicitud de certificado académico oficial,Academico
solicitud relacionada con solicitud de paz y salvo,Academico
institucional solicitud administrativa interna,Administrativo
solicitud relacionada con solicitud de presupuesto anual,Financiero
documento asociado a solicitud de certificado académico,Academico
solicitud relacionada con circular administrativa general,Administrativo
solicitud de paz y salvo oficial,Academico
solicitud de presupuesto anual prioritario,Financiero
solicitud relacionada con balance general financiero,Financiero
general factura de pago institucional,Financiero
oficial reporte de notas semestrales,Academico
se requiere solicitud de presupuesto anual,Financiero
proceso correspondiente a incapacidad médica laboral,Talento_Humano
externo informe de tesorería,Financiero
comprobante de egreso externo,Financiero
solicitud relacionada con informe de tesorería,Financiero
documento asociado a acuerdo jurídico,Juridico
orden de pago administrativa prioritario,Financiero
documento asociado a resolución jurídica,Juridico
oficial estado financiero trimestral,Financiero
se requiere cancelación de semestre académico,Academico
documento asociado a comunicado organizacional,Administrativo
solicitud relacionada con incapacidad médica laboral,Talento_Humano
documento asociado a solicitud de homologación de materias,Academico
acta de comité institucional general,Administrativo
general reporte de nómina,Talento_Humano
proceso correspondiente a proceso de selección,Talento_Humano
prioritario solicitud de homologación de materias,Academico
documento legal contractual oficial,Juridico
externo reporte de nómina,Talento_Humano
solicitud relacionada con historial académico del estudiante,Academico
oficial contrato de prestación de servicios,Juridico
proceso de selección urgente,Talento_Humano
se requiere proceso disciplinario,Juridico
solicitud relacionada con solicitud de certificado académico,Academico
se requiere acuerdo jurídico,Juridico
interno historial académico del estudiante,Academico
se requiere factura de pago institucional,Financiero
documento asociado a comprobante de egreso,Financiero
se requiere memorando administrativo interno,Administrativo
se requiere memorando administrativo interno,Administrativo
proceso correspondiente a registro de calificaciones,Academico
interno evaluación de desempeño,Talento_Humano
solicitud relacionada con hoja de vida institucional,Talento_Humano
se requiere documento legal contractual,Juridico
solicitud de presupuesto anual confidencial,Financiero
documento asociado a derecho de petición,Juridico
solicitud relacionada con certificado de estudios,Academico
solicitud relacionada con balance general financiero,Financiero
proceso correspondiente a plan operativo institucional,Administrativo
solicitud relacionada con evaluación de desempeño,Talento_Humano
proceso correspondiente a solicitud de permisos laborales,Talento_Humano
solicitud relacionada con solicitud de presupuesto anual,Financiero
orden de pago administrativa urgente,Financiero
documento asociado a acta de comité institucional,Administrativo
solicitud relacionada con cancelación de semestre académico,Academico
confidencial solicitud de certificado académico,Academico
proceso correspondiente a incapacidad médica laboral,Talento_Humano
se requiere reporte contable mensual,Financiero
solicitud relacionada con memorando administrativo interno,Administrativo
oficial memorando administrativo interno,Administrativo
proceso correspondiente a acta de grado universitario,Academico
externo acta de comité institucional,Administrativo
se requiere estado financiero trimestral,Financiero
solicitud relacionada con hoja de vida institucional,Talento_Humano
se requiere incapacidad médica laboral,Talento_Humano
proceso correspondiente a proceso disciplinario,Juridico
solicitud relacionada con demanda administrativa,Juridico
se requiere informe de tesorería,Financiero
proceso correspondiente a documento legal contractual,Juridico
proceso correspondiente a reporte de ingresos económicos,Financiero
documento asociado a reporte de ingresos económicos,Financiero
se requiere reporte de ingresos económicos,Financiero
documento asociado a proceso de selección,Talento_Humano
documento asociado a acta de reunión administrativa,Administrativo
solicitud de paz y salvo urgente,Academico
se requiere plan operativo institucional,Administrativo
se requiere circular administrativa general,Administrativo
se requiere balance general financiero,Financiero
solicitud relacionada con historial académico del estudiante,Academico
externo derecho de petición,Juridico
documento asociado a certificación laboral,Talento_Humano
cancelación de semestre académico interno,Academico
solicitud relacionada con reporte contable mensual,Financiero
general notificación judicial,Juridico
prioritario registro documental interno,Administrativo
oficial estado financiero trimestral,Financiero
se requiere derecho de petición,Juridico
solicitud relacionada con contrato laboral,Talento_Humano
solicitud relacionada con comprobante de egreso,Financiero
interno documento legal contractual,Juridico
proceso correspondiente a control de inventario,Administrativo
documento asociado a balance general financiero,Financiero
solicitud relacionada con hoja de vida institucional,Talento_Humano
proceso correspondiente a acción de tutela,Juridico
proceso correspondiente a acta de comité institucional,Administrativo
documento asociado a registro documental interno,Administrativo
solicitud de vacaciones general,Talento_Humano
confidencial estado financiero trimestral,Financiero
solicitud relacionada con reporte de ingresos económicos,Financiero
institucional acta de reunión administrativa,Administrativo
se requiere contrato de prestación de servicios,Juridico
proceso de selección externo,Talento_Humano
solicitud relacionada con proceso de selección,Talento_Humano
confidencial documento legal contractual,Juridico
proceso correspondiente a solicitud administrativa interna,Administrativo
proceso correspondiente a balance general financiero,Financiero
se requiere control de inventario,Administrativo
urgente matrícula académica ordinaria,Academico
proceso correspondiente a reporte de gestión administrativa,Administrativo
se requiere comunicado organizacional,Administrativo
proceso correspondiente a proceso disciplinario,Juridico
proceso correspondiente a solicitud de paz y salvo,Academico
registro de calificaciones urgente,Academico
se requiere circular administrativa general,Administrativo
documento asociado a contrato laboral,Talento_Humano
se requiere registro de calificaciones,Academico
institucional memorando administrativo interno,Administrativo
documento asociado a solicitud de vacaciones,Talento_Humano
solicitud relacionada con certificación laboral,Talento_Humano
proceso correspondiente a afiliación de seguridad social,Talento_Humano
proceso correspondiente a concepto jurídico institucional,Juridico
se requiere cancelación de semestre académico,Academico
general proceso disciplinario,Juridico
notificación judicial oficial,Juridico
urgente reporte de notas semestrales,Academico
proceso correspondiente a historial académico del estudiante,Academico
confidencial orden de pago administrativa,Financiero
externo registro de calificaciones,Academico
prioritario derecho de petición,Juridico
se requiere evaluación de desempeño,Talento_Humano
externo proceso de selección,Talento_Humano
se requiere control de cartera vencida,Financiero
proceso correspondiente a documento legal contractual,Juridico
documento asociado a registro de calificaciones,Academico
solicitud relacionada con proceso de selección,Talento_Humano
se requiere resolución jurídica,Juridico
se requiere reporte de ingresos económicos,Financiero
documento asociado a reporte de nómina,Talento_Humano
interno documento legal contractual,Juridico
solicitud relacionada con acción de tutela,Juridico
proceso correspondiente a estado financiero trimestral,Financiero
proceso correspondiente a comunicado organizacional,Administrativo
evaluación de desempeño confidencial,Talento_Humano
solicitud de homologación de materias oficial,Academico
proceso correspondiente a acta de comité institucional,Administrativo
documento asociado a factura de pago institucional,Financiero
documento asociado a documento legal contractual,Juridico
oficial registro de calificaciones,Academico
historial académico del estudiante general,Academico
contrato laboral interno,Talento_Humano
solicitud relacionada con contrato de prestación de servicios,Juridico
documento asociado a acta de grado universitario,Academico
se requiere solicitud de presupuesto anual,Financiero
solicitud relacionada con incapacidad médica laboral,Talento_Humano
oficial hoja de vida institucional,Talento_Humano
derecho de petición urgente,Juridico
solicitud relacionada con cancelación de semestre académico,Academico
oficial solicitud de homologación de materias,Academico
se requiere factura de pago institucional,Financiero
documento asociado a reporte de ingresos económicos,Financiero
se requiere comprobante de egreso,Financiero
documento asociado a notificación judicial,Juridico
documento asociado a solicitud de certificado académico,Academico
proceso correspondiente a documento legal contractual,Juridico
certificado de estudios prioritario,Academico
se requiere acción de tutela,Juridico
oficial solicitud de vacaciones,Talento_Humano
documento asociado a afiliación de seguridad social,Talento_Humano
solicitud de vacaciones prioritario,Talento_Humano
proceso correspondiente a contrato laboral,Talento_Humano
institucional demanda administrativa,Juridico
documento asociado a reporte de notas semestrales,Academico
documento asociado a derecho de petición,Juridico
proceso correspondiente a control de inventario,Administrativo
general reporte de nómina,Talento_Humano
se requiere solicitud administrativa interna,Administrativo
se requiere concepto jurídico institucional,Juridico
documento asociado a plan operativo institucional,Administrativo
proceso correspondiente a concepto jurídico institucional,Juridico
urgente acta de reunión administrativa,Administrativo
documento asociado a reporte contable mensual,Financiero
proceso correspondiente a registro de calificaciones,Academico
